study_idx,iso3,country,kp,year,study,author,link,public_report
2,AGO,Angola,FSW,2015,"PREVALÊNCIA DO VIH,  FACTORES BIOLÓGICOS E COMPORTAMENTAIS DA INFECÇÃO ENTRE AS PROFISSIONAIS DO SEXO (MTS) EM ANGOLA",Angola MoH,,Yes
3,AGO,Angola,ALL,2017,Mapeamento Programático e Prevalência de VIH e outras ITS entre Populações Chave de Angola: Estudo PLACE 2017,"INLS, UNC, FHI360",https://www.fhi360.org/sites/default/files/media/documents/resource-linkages-portuguese-angola-place-june-2018.pdf,Yes
4,AGO,Angola,MSM,2011,"Population Size, HIV, and Behavior Among MSM in Luanda, Angola: Challenges and Findings in the First Ever HIV and Syphilis Biological and Behavioral Survey",Kendall et al.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4733005/,Yes
4,AGO,Angola,MSM,2011,"Behavioral and Serological Survey for HIV and Syphilis among Men who have 
Sex with Men in Luanda, Angola.: Final Report",Angola MoH,,Yes
5,BDI,Burundi,FSW,2013,"Burundi PLACE Report, May 2014 revised October 2014",,https://www.measureevaluation.org/resources/publications/tr-14-99/at_download/document,Yes
5,BDI,Burundi,MSM,2013,"Burundi PLACE Report, May 2014 revised October 2014",,https://www.measureevaluation.org/resources/publications/tr-14-99/at_download/document,Yes
5,BDI,Burundi,PWID,2013,"Burundi PLACE Report, May 2014 revised October 2014",,https://www.measureevaluation.org/resources/publications/tr-14-99/at_download/document,Yes
6,BDI,Burundi,PWID,2017,Assessing risk of HIV and hepatitis C among people who inject drugs in East Africa: Findings from a rapid assessment,Platt et al.,https://onlinelibrary.wiley.com/doi/10.1111/jvh.13088,Yes
6,UGA,Uganda,PWID,2017,Assessing risk of HIV and hepatitis C among people who inject drugs in East Africa: Findings from a rapid assessment,Platt et al.,https://onlinelibrary.wiley.com/doi/10.1111/jvh.13088,Yes
7,BDI,Burundi,FSW,2021,ENQUETE NATIONALE DE SEROPREVALENCE ET DE SURVEILLANCE DES COMPORTEMENTS FACE AU VIH AU BURUNDI CHEZ LES PROFFESIONNELLES DE SEXE,Burundi MoH,,Yes
7,BDI,Burundi,MSM,2021,ENQUETE NATIONALE DE SEROPREVALENCE ET DE SURVEILLANCE DES COMPORTEMENTS FACE AU VIH AU BURUNDI CHEZ LES HOMMES AYANT DES RAPPORTS SEXUELS AVEC LES HOMMES,Burundi MoH,,Yes
7,BDI,Burundi,PWID,2021,"ENQUETE NATIONALE DE SEROPREVALENCE ET DE SURVEILLANCE DES COMPORTEMENTS FACE AU VIH, HEPATITES VIRALES ET SYPHILIS AU BURUNDI CHEZ LES CONSOMMATEURS DE DROGUES INJECTABLES",Burundi MoH,,Yes
8,BDI,Burundi,FSW,2011,"ENQUETE DE SEROPREVALENCE ET SOCIO COMPORTEMENTALE DU VIH FOCALISEE SUR LES GROUPES A PLUS HAUT RISQUE, RAPPORT DE L'ETUDE (VOLUME 0: RESUME EXECUTIF)",Burundi MoH,,Yes
8,BDI,Burundi,MSM,2011,"ENQUETE DE SEROPREVALENCE ET SOCIO COMPORTEMENTALE DU VIH FOCALISEE SUR LES GROUPES A PLUS HAUT RISQUE, RAPPORT DE L'ETUDE (VOLUME 0: RESUME EXECUTIF)",Burundi MoH,,Yes
9,BEN,Benin,FSW,2011,ENQUETE DE SURVEILLANCE DE DEUXIEME GENERATION DES IST/VIH/SIDA AU BENIN (ESDG-2012): TOME 1 - Travailleuses du sexe et Serveuses,Benin MoH,,Yes
